problem	cat	numsurveys	numrespondents	perc	year	month	quarter
506	3	1	3049	.175	1939	10	4
201	4	1	3049	.26199999	1939	10	4
202	4	1	3049	2.073	1939	10	4
203	4	1	3049	.32800001	1939	10	4
204	4	1	3049	0	1939	10	4
205	4	1	3049	1.181	1939	10	4
206	4	1	3049	.033	1939	10	4
207	4	1	3049	3.099	1939	10	4
208	4	1	3049	.39399999	1939	10	4
209	4	1	3049	.098	1939	10	4
210	4	1	3049	0	1939	10	4
211	4	1	3049	.64899999	1939	10	4
212	4	1	3049	0	1939	10	4
213	4	1	3049	0	1939	10	4
214	4	1	3049	0	1939	10	4
215	4	1	3049	0	1939	10	4
216	4	1	3049	0	1939	10	4
217	4	1	3049	0	1939	10	4
506	5	1	3049	.175	1939	10	4
601	5	1	3049	39.460999	1939	10	4
602	5	1	3049	.34999999	1939	10	4
603	5	1	3049	0	1939	10	4
604	5	1	3049	0	1939	10	4
605	5	1	3049	9.8579998	1939	10	4
606	5	1	3049	0	1939	10	4
608	5	1	3049	0	1939	10	4
609	5	1	3049	0	1939	10	4
610	5	1	3049	0	1939	10	4
611	5	1	3049	.098	1939	10	4
701	5	1	3049	0	1939	10	4
702	5	1	3049	.131	1939	10	4
703	5	1	3049	0	1939	10	4
704	5	1	3049	0	1939	10	4
705	5	1	3049	0	1939	10	4
1	6	1	3049	32.272999	1939	10	4
2	6	1	3049	.131	1939	10	4
3	6	1	3049	.011	1939	10	4
4	6	1	3049	.91799998	1939	10	4
5	6	1	3049	.164	1939	10	4
6	6	1	3049	.32800001	1939	10	4
7	6	1	3049	0	1939	10	4
8	6	1	3049	0	1939	10	4
9	6	1	3049	.082	1939	10	4
10	6	1	3049	0	1939	10	4
12	6	1	3049	.80400002	1939	10	4
13	6	1	3049	6.6149998	1939	10	4
14	6	1	3049	.64899999	1939	10	4
15	6	1	3049	.58200002	1939	10	4
16	6	1	3049	10.383	1939	10	4
17	6	1	3049	0	1939	10	4
18	6	1	3049	.131	1939	10	4
19	6	1	3049	39.558998	1939	10	4
20	6	1	3049	3.9189999	1939	10	4
21	6	1	3049	0	1939	10	4
22	6	1	3049	3.22	1939	10	4
23	6	1	3049	.23	1939	10	4
24	6	1	3049	0	1939	10	4
1	1	0	0	28.625333	1940	1	1
2	1	0	0	6.5693331	1940	1	1
3	1	0	0	.067	1940	1	1
4	1	0	0	.44733332	1940	1	1
5	1	0	0	6.2720002	1940	1	1
6	1	0	0	47.989667	1940	1	1
7	1	0	0	.179	1940	1	1
8	1	0	0	0	1940	1	1
9	1	0	0	1.2656666	1940	1	1
10	1	0	0	6.0183333	1940	1	1
11	1	0	0	.23366667	1940	1	1
12	1	0	0	.07833333	1940	1	1
